,Ingredient,Number of Usage
0,salt,31117
1,onion,23295
2,egg,21607
3,garlic,21343
4,butter,20551
5,white sugar,18409
6,water,16483
7,all purpose flour,15839
8,olive oil,14206
9,black pepp,13512
10,milk,12285
11,vanilla extract,10602
12,tomato,9826
13,vegetable oil,9204
14,brown sugar,8450
15,chicken broth,7911
16,cinnamon,7832
17,lemon juic,7670
18,baking powd,6367
19,baking soda,5617
20,potato,5522
21,parsley,5215
22,carrot,5046
23,white vinegar,4891
24,soy sauc,4611
25,cheddar chees,4521
26,parmesan chees,4428
27,cream chees,4100
28,celeri,4069
29,sour cream,3852
30,lemon,3810
31,chicken,3638
32,cilantro,3560
33,mushroom,3538
34,nutmeg,3430
35,cayenne pepp,3423
36,beef,3414
37,cumin,3392
38,honey,3381
39,oregano,3322
40,ginger,3284
41,confectioners' sugar,3276
42,mayonnais,3253
43,unsalted butt,3175
44,bacon,3166
45,paprika,3142
46,basil,3139
47,walnut,2874
48,chocolate chip,2812
49,cooking spray,2678
50,thyme,2589
51,sugar,2571
52,cornstarch,2559
53,bread crumb,2551
54,green pepp,2539
55,worcestershire sauc,2423
56,appl,2296
57,chili powd,2295
58,clove,2268
59,oat,2196
60,pecan,2132
61,chees,2085
62,coconut milk,2080
63,heavy cream,2070
64,white bread,1991
65,mozzarella chees,1989
66,lime,1986
67,sesame oil,1956
68,jalapeno pepp,1943
69,coconut,1922
70,banana,1921
71,cocoa powd,1918
72,almond,1874
73,orang,1828
74,zucchini,1770
75,orange juic,1756
76,onion powd,1722
77,raisin,1692
78,shorten,1670
79,heavy whipping cream,1626
80,yogurt,1587
81,shrimp,1563
82,flour,1559
83,pumpkin se,1542
84,rosemari,1535
85,spinach,1535
86,margarin,1488
87,chocol,1481
88,chile pepp,1464
89,strawberri,1446
90,ketchup,1417
91,balsamic vinegar,1395
92,avocado,1333
93,apple cider vinegar,1327
94,buttermilk,1325
95,dijon mustard,1321
96,mustard,1291
97,bread,1277
98,pineappl,1276
99,cucumb,1219
100,canola oil,1200
101,bean,1168
102,cabbag,1168
103,dry yeast,1152
104,dried cranberri,1145
105,pepper sauc,1140
106,blueberri,1121
107,oil,1096
108,maple syrup,1096
109,shallot,1078
110,curry powd,1071
111,italian season,1049
112,ginger root,1049
113,whole wheat flour,1039
114,bell pepp,1009
115,whipped top,1004
116,ham,994
117,turmer,991
118,peanut,972
119,almond m,969
120,feta chees,962
121,allspic,958
122,bay leaf,905
123,corn syrup,891
124,turkey,890
125,bay leav,883
126,almond extract,862
127,black ol,855
128,beef broth,831
129,salsa,815
130,coriand,812
131,mushroom soup,809
132,sage,799
133,dry white win,764
134,molass,746
135,applesauc,745
136,chive,744
137,dill,726
138,white pepp,724
139,rice,721
140,cherri,718
141,pea,714
142,beer,714
143,kidney bean,708
144,creami,708
145,flour tortilla,697
146,white onion,686
147,sausag,678
148,cauliflow,673
149,broccoli,663
150,ricotta chees,661
151,basil leav,659
152,cherry tomato,645
153,cake,643
154,rum,638
155,pie crust,635
156,mint,629
157,green onion,622
158,red pepp,621
159,marshmallow,611
160,tofu,597
161,kernel corn,596
162,vodka,594
163,pepper,594
164,pork,593
165,dill we,586
166,pasta,586
167,noodl,562
168,red win,548
169,bread flour,548
170,eggplant,548
171,dry mustard,530
172,cornmeal,525
173,peach,522
174,pineapple juic,522
175,raspberri,521
176,pork chop,519
177,salmon,513
178,asparagu,512
179,cereal,507
180,cream of tartar,506
181,spaghetti,502
182,pork sausag,502
183,red bell pepp,499
184,browni,497
185,black peppercorn,477
186,date,471
187,quinoa,470
188,broccoli floret,466
189,artichoke heart,463
190,taco season,460
191,vanilla pud,455
192,cottage chees,448
193,cardamom,443
194,tuna,442
195,leek,440
196,onion soup,437
197,caper,436
198,barbeque sauc,434
199,salad dress,434
200,egg noodl,430
201,butternut squash,426
202,kale,418
203,gelatin,409
204,tortilla,407
205,macaroni,400
206,blue chees,397
207,coffe,392
208,tarragon,390
209,mango,390
210,garbanzo bean,390
211,cashew,387
212,veget,382
213,pastri,378
214,cake flour,374
215,horseradish,368
216,cumin se,364
217,spinach leav,364
218,cow milk,363
219,chipotle pepp,357
220,goat chees,353
221,scallion,353
222,cajun season,353
223,mint leav,346
224,marjoram,343
225,mustard powd,339
226,flax se,335
227,garam masala,329
228,penne pasta,329
229,chickpea,329
230,crabmeat,326
231,pineapple chunk,324
232,spaghetti sauc,323
233,celery se,322
234,poultry season,321
235,granul,320
