,,Ingredient,Number of Usage
0,0,salt,31117
1,1,onion,23295
2,2,egg,21607
3,3,garlic,21343
4,4,butter,20551
5,5,white sugar,18409
6,6,water,16483
7,7,all purpose flour,15839
8,8,olive oil,14206
9,9,black pepp,13512
10,10,milk,12285
11,11,vanilla extract,10602
12,12,tomato,9826
13,13,vegetable oil,9204
14,14,brown sugar,8450
15,15,chicken broth,7911
16,16,cinnamon,7832
17,17,lemon juice,7670
18,18,baking powd,6367
19,19,baking soda,5617
20,20,potato,5522
21,21,parsley,5215
22,22,carrot,5046
23,23,white vinegar,4891
24,24,soy sauc,4611
25,25,cheddar chees,4521
26,26,parmesan chees,4428
27,27,cream chees,4100
28,28,celeri,4069
29,29,sour cream,3852
30,30,lemon,3810
31,31,chicken,3638
32,32,cilantro,3560
33,33,mushroom,3538
34,34,nutmeg,3430
35,35,cayenne pepp,3423
36,36,beef,3414
37,37,cumin,3392
38,38,honey,3381
39,39,oregano,3322
40,40,ginger,3284
41,41,confectioners' sugar,3276
42,42,mayonnais,3253
43,43,unsalted butt,3175
44,44,bacon,3166
45,45,paprika,3142
46,46,basil,3139
47,47,walnut,2874
48,48,chocolate chip,2812
49,49,cooking spray,2678
50,50,thyme,2589
51,51,sugar,2571
52,52,cornstarch,2559
53,53,bread crumb,2551
54,54,green pepp,2539
55,55,worcestershire sauc,2423
56,56,appl,2296
57,57,chili powd,2295
58,58,clove,2268
59,59,oat,2196
60,60,pecan,2132
61,61,chees,2085
62,62,coconut milk,2080
63,63,heavy cream,2070
64,64,white bread,1991
65,65,mozzarella chees,1989
66,66,lime,1986
67,67,sesame oil,1956
68,68,jalapeno pepp,1943
69,69,coconut,1922
70,70,banana,1921
71,71,cocoa powd,1918
72,72,almond,1874
73,73,orang,1828
74,74,zucchini,1770
75,75,orange juice,1756
76,76,onion powd,1722
77,77,raisin,1692
78,78,shorten,1670
79,79,heavy whipping cream,1626
80,80,yogurt,1587
81,81,shrimp,1563
82,82,flour,1559
83,83,pumpkin se,1542
84,84,rosemari,1535
85,85,spinach,1535
86,86,margarin,1488
87,87,chocol,1481
88,88,chile pepp,1464
89,89,strawberri,1446
90,90,ketchup,1417
91,91,balsamic vinegar,1395
92,92,avocado,1333
93,93,apple cider vinegar,1327
94,94,buttermilk,1325
95,95,dijon mustard,1321
96,96,mustard,1291
97,97,bread,1277
98,98,pineappl,1276
99,99,cucumb,1219
100,100,canola oil,1200
101,101,bean,1168
102,102,cabbag,1168
103,103,dry yeast,1152
104,104,dried cranberri,1145
105,105,pepper sauc,1140
106,106,blueberri,1121
107,107,oil,1096
108,108,maple syrup,1096
109,109,shallot,1078
110,110,curry powd,1071
111,111,italian season,1049
112,112,ginger root,1049
113,113,whole wheat flour,1039
114,114,bell pepp,1009
115,115,whipped top,1004
116,116,ham,994
117,117,turmer,991
118,118,peanut,972
119,119,almond m,969
120,120,feta chees,962
121,121,allspic,958
122,122,bay leaf,905
123,123,corn syrup,891
124,124,turkey,890
125,125,bay leav,883
126,126,almond extract,862
127,127,black ol,855
128,128,beef broth,831
129,129,salsa,815
130,130,coriand,812
131,131,mushroom soup,809
132,132,sage,799
133,133,dry white win,764
134,134,molass,746
135,135,applesauc,745
136,136,chive,744
137,137,dill,726
138,138,white pepp,724
139,139,rice,721
140,140,cherri,718
141,141,pea,714
142,142,beer,714
143,143,kidney bean,708
144,144,creami,708
145,145,flour tortilla,697
146,146,white onion,686
147,147,sausag,678
148,148,cauliflow,673
149,149,broccoli,663
150,150,ricotta chees,661
151,151,basil leav,659
152,152,cherry tomato,645
153,153,cake,643
154,154,rum,638
155,155,pie crust,635
156,156,mint,629
157,157,green onion,622
158,158,red pepp,621
159,159,marshmallow,611
160,160,tofu,597
161,161,kernel corn,596
162,162,vodka,594
163,163,pepper,594
164,164,pork,593
165,165,dill we,586
166,166,pasta,586
167,167,noodl,562
168,168,red win,548
169,169,bread flour,548
170,170,eggplant,548
171,171,dry mustard,530
172,172,cornmeal,525
173,173,peach,522
174,174,pineapple juice,522
175,175,raspberri,521
176,176,pork chop,519
177,177,salmon,513
178,178,asparagu,512
179,179,cereal,507
180,180,cream of tartar,506
181,181,spaghetti,502
182,182,pork sausag,502
183,183,red bell pepp,499
184,184,browni,497
185,185,black peppercorn,477
186,186,date,471
